,Time,Distance,Avg HR,Max HR,Elev Gain,Elev Loss,Avg Run Cadence,Calories,Avg Temperature,Max Run Cadence,HR median,HR std,Pace std,Lap pace median,Avg Pace(s/km),Best Lap,File name,Date,Start time,Type
0,2228.0,7.29,149,180.0,0,0,78,449,20.3,93,151.0,20.38646043837682,124.28260219294742,417.54221016832406,434.23069871776056,651.6986301369863,Szymon+_ywko+_2020-04-17_13-11-56.CSV,2020-04-17,13-11-56,-1
0,1740.0,6.15,133,147.0,32,35,82,290,18.1,92,136.0,9.38499447057602,39.52102237790499,275.83393501805057,295.4568831447811,366.3140243902439,Szymon+_ywko+_2020-01-18_17-03-24.CSV,2020-01-18,17-03-24,-1
0,3074.0,12.55,159,177.0,20,10,82,691,20.0,90,173.0,20.965485086141943,960.8130760073363,190.44102564102565,482.9567609441373,3809.3958944281526,Szymon+_ywko+_2020-05-07_11-18-38.CSV,2020-05-07,11-18-38,-1
0,2564.0,10.04,137,153.0,60,73,82,458,13.7,108,139.0,7.403027084172958,15.73182756453825,253.82116044616043,263.4954608323927,290.9227941176471,Szymon+_ywko+_2020-02-27_15-15-09.CSV,2020-02-27,15-15-09,-1
0,714.0,0.69,119,151.0,5,5,60,84,25.6,99,116.0,14.421003300833137,0.0,2745.6507713884994,2745.6507713884994,2745.6507713884994,Szymon+_ywko+_2020-05-23_11-00-45.CSV,2020-05-23,11-00-45,-1
0,233.00000000000003,0.61,119,123.0,0,0,79,29,17.2,81,120.0,3.368914339779993,0.0,379.0905172413793,379.0905172413793,379.0905172413793,Szymon+_ywko+_2020-01-17_18-08-46.CSV,2020-01-17,18-08-46,-1
0,3072.0,12.03,137,145.0,5,30,82,543,25.3,88,137.0,5.5399790809112135,7.789096162213144,259.3961251795977,257.56178131235987,272.24615384615385,Szymon+_ywko+_2019-09-04_15-28-57.CSV,2019-09-04,15-28-57,-1
0,806.0,3.01,136,149.0,10,15,81,142,21.4,88,136.0,9.49800335705351,13.945134316756656,268.5851851851852,268.35108064092464,285.31205673758865,Szymon+_ywko+_2020-05-30_10-36-18.CSV,2020-05-30,10-36-18,-1
0,385.0,0.79,129,158.0,0,0,64,59,17.3,103,127.0,14.29942747213384,0.0,620.5963541666666,620.5963541666666,620.5963541666666,Szymon+_ywko+_2020-02-22_12-50-52.CSV,2020-02-22,12-50-52,-1
0,4247.0,15.03,137,155.0,187,218,82,747,12.1,100,137.0,8.038660941183812,26.35280541061324,285.26223776223776,288.57694399821867,336.24458204334366,Szymon+_ywko+_2019-11-13_10-35-04.CSV,2019-11-13,10-35-04,-1
0,4217.0,12.95,116,166.0,0,0,78,616,14.0,96,115.0,20.567486303609012,334.6139776944056,355.61538461538464,514.0199845927559,1436.2,Szymon+_ywko+_2020-03-31_13-38-04.CSV,2020-03-31,13-38-04,-1
0,6261.0,14.46,129,188.0,40,36,71,925,24.3,115,126.0,24.042730193754963,470.8729548454026,384.3811659192825,495.5298174958789,2224.7593984962405,Szymon+_ywko+_2020-02-08_11-02-17.CSV,2020-02-08,11-02-17,-1
0,634.0,2.48,142,155.0,15,21,83,119,21.5,95,147.0,12.018442785542595,26.013128600451232,279.384,274.6771631311483,303.92134831460675,Szymon+_ywko+_2020-01-21_16-03-54.CSV,2020-01-21,16-03-54,-1
0,774.0,3.02,144,153.0,5,5,83,148,19.4,88,145.0,8.326833696942098,7.802663321636735,255.03501945525292,258.8915328958455,269.7734375,Szymon+_ywko+_2019-12-21_10-15-46.CSV,2019-12-21,10-15-46,-1
0,1693.0,6.03,133,145.0,65,45,84,284,23.6,96,134.0,7.064493067337073,9.517527992192887,281.41624423963134,281.71635820460244,298.2721088435374,Szymon+_ywko+_2019-07-22_10-44-56.CSV,2019-07-22,10-44-56,-1
0,2378.0,9.03,154,181.0,0,0,80,511,18.4,102,161.0,21.13425216899757,126.9436188908458,413.4244409757514,397.3668164340844,670.3235294117648,Szymon+_ywko+_2020-04-19_13-15-43.CSV,2020-04-19,13-15-43,-1
0,2021.0000000000002,7.57,136,144.0,35,25,81,354,27.6,92,138.0,6.665248785191239,55.72781298535869,261.89163400041264,284.82294280558676,428.0388888888889,Szymon+_ywko+_2019-09-12_15-06-24.CSV,2019-09-12,15-06-24,-1
0,3519.0,9.35,137,178.0,84,85,77,594,16.1,115,136.0,20.195699595705438,803.2728114393137,415.43904971421523,767.1073355631347,2673.5702576112412,Szymon+_ywko+_2020-01-13_11-28-54.CSV,2020-01-13,11-28-54,-1
